"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOT-23-5";1;"SE5218";;;
2;",,,,,,,,,,,,,";"buzzardLabel";14;"";;;
3;"R7";"0603R";1;"2M";;;
4;"HOLE_L2,HOLE_L1,HOLE_L3,HOLE_L4";"";4;"";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"C2,C1";"0603C";2;"2.2uF";;;
7;"C8";"ELECTROLITIC_CAP_4mm";1;"EDK106M016A9BAA";;;
8;"K2";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
9;"C4,C3,C9,C5,C6";"0603C";5;"10n";;;
10;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
11;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
12;"JP3";"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";1;"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";;;
13;"R11,R6";"0603R";2;"1M";;;
14;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
15;"U3";"SOP-16";1;"BISS0001";;;
16;"R2,R3";"0603R";2;"1k";;;
17;"R10";"0603R";1;"10k";;;
18;"C7";"0603C";1;"47u";;;
19;"K1";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
20;"R4";"0603R";1;"15k";;;
21;"R8,R5";"0603R";2;"47k";;;
22;"R1,R9";"tc33x-2-103e";2;"TC33X-2-105E";;;
23;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
24;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
25;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
26;"U1";"PIR_senzor";1;"AM312";;;
27;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
